,variable,bin,count,count_distr,malo,bueno,tasa_buenos,woe,bin_iv,total_iv,breaks,is_special_values
0,pH_categ,"[-inf,inf)",479,1.0,309,170,0.35490605427974947,0.0,0.0,0.0,inf,False
0,IDCTE,"[-inf,340.0)",145,0.302713987473904,97,48,0.3310344827586207,-0.10596712774800816,0.0033446315973005426,0.09414675571296514,340.0,False
1,IDCTE,"[340.0,460.0)",53,0.11064718162839249,33,20,0.37735849056603776,0.09676755193499442,0.0010500191243660163,0.09414675571296514,460.0,False
2,IDCTE,"[460.0,580.0)",52,0.10855949895615867,27,25,0.4807692307692308,0.5205817987113553,0.031068416884829603,0.09414675571296514,580.0,False
3,IDCTE,"[580.0,720.0)",73,0.1524008350730689,49,24,0.3287671232876712,-0.11622362791519732,0.002022242450304405,0.09414675571296514,720.0,False
4,IDCTE,"[720.0,800.0)",42,0.08768267223382047,33,9,0.21428571428571427,-0.7017401442827771,0.03779217338998622,0.09414675571296514,800.0,False
5,IDCTE,"[800.0,860.0)",24,0.05010438413361169,16,8,0.3333333333333333,-0.09560434071246163,0.0004513587758745574,0.09414675571296514,860.0,False
6,IDCTE,"[860.0,960.0)",41,0.08559498956158663,22,19,0.4634146341463415,0.4509393656556083,0.018293390219152893,0.09414675571296514,960.0,False
7,IDCTE,"[960.0,inf)",49,0.1022964509394572,32,17,0.3469387755102041,-0.034979718896026815,0.0001245232711509045,0.09414675571296514,inf,False
0,odor_categ,"[-inf,2.0)",201,0.4196242171189979,162,39,0.19402985074626866,-0.826491849255254,0.24369945275299124,0.385912703254504,2.0,False
1,odor_categ,"[2.0,inf)",278,0.5803757828810021,147,131,0.4712230215827338,0.48230757626989895,0.14221325050151276,0.385912703254504,inf,False
0,fat_categ,"[-inf,2.0)",85,0.17745302713987474,84,1,0.011764705882352941,-3.83327395899583,1.0195063864673661,1.1023113977466636,2.0,False
1,fat_categ,"[2.0,inf)",394,0.8225469728601252,225,169,0.4289340101522843,0.311341152566137,0.08280501127929754,1.1023113977466636,inf,False
0,temperature_categ,"[-inf,2.0)",124,0.2588726513569937,46,78,0.6290322580645161,1.1256102700479804,0.34888989942739795,0.48924508355093044,2.0,False
1,temperature_categ,"[2.0,inf)",355,0.7411273486430062,263,92,0.2591549295774648,-0.4528226152812407,0.14035518412353248,0.48924508355093044,inf,False
0,turbidity_categ,"[-inf,2.0)",143,0.2985386221294363,86,57,0.3986013986013986,0.18624681142852595,0.01061177815734966,0.015297627213328748,2.0,False
1,turbidity_categ,"[2.0,inf)",336,0.7014613778705637,223,113,0.33630952380952384,-0.08224111290029451,0.004685849055979088,0.015297627213328748,inf,False
0,taste_categ,"[-inf,2.0)",188,0.3924843423799583,127,61,0.324468085106383,-0.13577038243779632,0.007084458752370069,0.011513682813564439,2.0,False
1,taste_categ,"[2.0,inf)",291,0.6075156576200418,182,109,0.3745704467353952,0.08488403499983217,0.00442922406119437,0.011513682813564439,inf,False
0,color_categ,"[-inf,inf)",479,1.0,309,170,0.35490605427974947,0.0,0.0,0.0,inf,False
