,index,VARIABLES,BETAS,BIN,WOE,PUNTOS
0,0,INTERCEPTO,-0.6401261770129718,"[-inf,inf)",1.0,-64.0
1,0,fat_categ,0.9215788388005431,"[-inf,2.0)",-3.83327395899583,-353.0
2,1,fat_categ,0.9215788388005431,"[2.0,inf)",0.311341152566137,28.0
3,2,odor_categ,1.0946418344925681,"[-inf,2.0)",-0.826491849255254,-90.0
4,3,odor_categ,1.0946418344925681,"[2.0,inf)",0.48230757626989895,52.0
5,4,taste_categ,0.9836151048023132,"[-inf,2.0)",-0.13577038243779632,-13.0
6,5,taste_categ,0.9836151048023132,"[2.0,inf)",0.08488403499983217,8.0
7,6,temperature_categ,1.1125759531457315,"[2.0,inf)",-0.4528226152812407,-50.0
8,7,temperature_categ,1.1125759531457315,"[-inf,2.0)",1.1256102700479804,125.0
9,8,turbidity_categ,1.628692073947961,"[2.0,inf)",-0.08224111290029451,-13.0
10,9,turbidity_categ,1.628692073947961,"[-inf,2.0)",0.18624681142852595,30.0
